id,name,checkins,overall_star_rating,rating_count,engagement_count,price_range,payment_options_amex,payment_options_cash_only,payment_options_discover,payment_options_mastercard,payment_options_visa,restaurant_services_delivery,restaurant_services_catering,restaurant_services_groups,restaurant_services_kids,restaurant_services_outdoor,restaurant_services_reserve,restaurant_services_takeout,restaurant_services_waiter,restaurant_services_walkins,parking_lot,parking_street,parking_valet
460306238916,"Burgers & Brew",42702,4.5,739,6012,$,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0
167296696662160,"Burgers & Brew",30849,4.4,562,4339,$,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1
479981894784,"Hefty Burgers",1322,4.5,111,5777,$,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0
383767212050333,"Jakes Burgers and Beer - Mansfield",1671,4.6,126,525,$$,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0
460703036696,"Burgers and Brew",81822,4.5,1614,8747,$,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0
154171898062577,"Rockstar Burgers",11790,4.6,905,12581,$$,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0
154899801865289,"Burgers Lab",82,5,74,2357,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
132224523514318,"Moo Moo's Burger Barn - Lodi Location",4008,4.2,136,713,$,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0
1404912776460209,"Monster Burgers",12170,4.5,388,14250,$$,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
147721871943819,"California Burgers",5439,4.1,153,1089,$,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0
198223153548142,"4505 Meats, 4505 Burgers & BBQ",14308,4.6,382,9619,$$,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1
1563009837292397,"Matteo Special Burgers",5174,4.8,511,19687,$,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0
476942982472,"Chunky's Burgers",29934,4.5,1056,8804,$,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0
395149227306478,"Boulevard Burgers & Tap House",11164,4.4,236,4544,$,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
207712439260914,"JJ's Burgers",5372,0,0,1953,$$,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0
544812782221335,"Allegro Burgers & Grill",17294,4.6,369,20183,$$$,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0
241312136387591,"TJ's Burgers",1274,4.7,342,4536,$$,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0
1656136664445007,"Red Robin Gourmet Burgers",22009,4.2,471,1284,$$$,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0
10156129564733698,"Red Robin Gourmet Burgers",41642,4.1,646,1327,$$,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0
996732977056061,"House of Burgers",6216,4.5,238,2899,$,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0
255914997931477,"Stockyard Burgers & Bones",13550,4.6,329,2821,$$,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
276813262379955,"Grindhouse Killer Burgers",36803,0,0,12048,$$,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0
10150163013592885,"Bub's Burgers & Ice Cream",50792,4.6,1976,11783,$,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
